Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,63%, Precision: 0,9973, Recall: 0,9350, F1-Score: 0,9652
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9825, Recall: 0,9800, F1-Score: 0,9812
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,25%, Precision: 0,9602, Recall: 0,9650, F1-Score: 0,9626
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,75%, Precision: 0,9629, Recall: 0,9725, F1-Score: 0,9677
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,38%, Precision: 0,9588, Recall: 0,9900, F1-Score: 0,9742
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,13%, Precision: 0,9677, Recall: 0,9750, F1-Score: 0,9714
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,13%, Precision: 0,9796, Recall: 0,9625, F1-Score: 0,9710
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9578, Recall: 0,9650, F1-Score: 0,9614
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9727, Recall: 0,9800, F1-Score: 0,9763
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,13%, Precision: 0,9677, Recall: 0,9750, F1-Score: 0,9714
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9825, Recall: 0,9800, F1-Score: 0,9812
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9825, Recall: 0,9800, F1-Score: 0,9812
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9847, Recall: 0,9650, F1-Score: 0,9747
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9800, Recall: 0,9800, F1-Score: 0,9800
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9849, Recall: 0,9775, F1-Score: 0,9812
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9578, Recall: 0,9650, F1-Score: 0,9614
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,25%, Precision: 0,9797, Recall: 0,9650, F1-Score: 0,9723
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9800, Recall: 0,9825, F1-Score: 0,9813
